block,Condition,rt_mean,rt_n,rt_sd,rt_se,rt_95_lower,rt_95_upper
1,RANDREG,1.7760212418300654,19,0.06060082177464429,0.013902782000589139,1.7487717891089107,1.80327069455122
1,TARGET,1.7476608187134504,19,0.09535357258529671,0.021875609831835723,1.7047846234430524,1.7905370139838483
2,RANDREG,1.7787495700034401,19,0.05940621780142443,0.013628721053388216,1.7520372767387993,1.805461863268081
2,TARGET,1.6377192982456141,19,0.07734843907048596,0.017744948913097965,1.602939198375942,1.6724993981152863
3,RANDREG,1.7789473684210528,19,0.062287469851009386,0.014289725606809807,1.7509395062317057,1.8069552306104
3,TARGET,1.575840643274854,19,0.07164214567709101,0.016435835426571527,1.5436264058387739,1.608054880710934
4,RANDREG,1.7635362917096664,19,0.04984080554066338,0.011434264979811249,1.7411251323492363,1.7859474510700966
4,TARGET,1.5419956140350877,19,0.06690350181266666,0.01534871596686338,1.5119121307400354,1.57207909733014
5,RANDREG,1.7750343997248024,19,0.05141336916313725,0.01179503581731924,1.7519161295228567,1.798152669926748
5,TARGET,1.5293859649122807,19,0.05877489979209422,0.013483886768972022,1.5029575468450955,1.555814382979466
