"subj"	"RANDREG_1"	"RANDREG_2"	"RANDREG_3"	"RANDREG_4"	"RANDREG_5"	"TARGET_1"	"TARGET_3"	"TARGET_5"
"1"	2.40003361344538	2.16641964285714	2.02378655462185	2.02786914285714	2.05229243697479	2.14783492063492	2.07443214285714	1.90173214285714
"2"	1.60187803921569	1.68460962962963	1.75175450980392	1.72790933333333	1.74174862745098	1.73700083333333	1.64942444444444	1.65051333333333
"3"	1.76276176470588	1.691258	1.68932058823529	1.84332391304348	1.8874625	1.77952142857143	1.686675	1.71440555555556
"4"	1.77250666666667	1.55232820512821	1.53426666666667	1.60459466666667	1.52890196078431	1.64367916666667	1.48962222222222	1.3910380952381
"5"	1.61948745098039	1.94959733333333	1.76684333333333	1.70991641025641	1.60505803921569	1.52671555555556	1.66443777777778	1.51941833333333
"6"	2.23066666666667	1.947635	1.63506208333333	1.5649725	1.71834666666667	2.08692666666667	1.45916	1.74979333333333
"7"	1.76568791666667	1.87282888888889	1.64284	1.69566820512821	1.79485666666667	1.76518444444444	1.41453166666667	1.48157333333333
"8"	1.96319215686275	2.07083333333333	1.85453333333333	1.82280933333333	1.77436862745098	2.01044583333333	1.85457777777778	1.77637777777778
"9"	1.84022541666667	1.91533866666667	1.82333791666667	1.74351866666667	1.81707725490196	2.05162888888889	1.58735111111111	1.75075111111111
"10"	2.17756517857143	1.99308542857143	1.9911380952381	2.02800604395604	1.88081554621849	2.06719285714286	1.79723392857143	1.96169642857143
"11"	1.70123607843137	1.60563066666667	1.52357541666667	1.54642666666667	1.53902333333333	1.65405111111111	1.40040666666667	1.43367333333333
"12"	1.91310777777778	1.62168769230769	1.88702117647059	1.75933769230769	1.69870352941176	1.92793	1.81965777777778	1.48540222222222
"13"	1.71153291666667	1.64417666666667	1.74720791666667	1.67258820512821	1.67109137254902	1.61201555555556	1.74485166666667	1.63591
"14"	1.92622666666667	1.93913866666667	1.93127666666667	1.8858225	2.13566196078431	1.67647666666667	1.63520444444444	1.71918916666667
"15"	1.89165882352941	1.98536	1.98696875	2.042604	2.10236666666667	1.900775	1.8866	1.776975
"16"	1.80992823529412	1.799432	1.63170111111111	1.58124833333333	1.59831058823529	1.73076857142857	1.47888285714286	1.4237775
"17"	1.60975333333333	1.55063153846154	1.60204777777778	1.49276	1.47132	1.48940888888889	1.439695	1.34065333333333
"18"	2.4085462745098	2.14215487179487	2.09724333333333	2.10218564102564	1.80801333333333	2.41151833333333	1.76640444444444	1.73853083333333
