block	 condition	 toneNum	 transition
1	 6	 1	 94
 1	 6	 2	 94
 1	 6	 3	 94
 1	 6	 4	 94
 1	 6	 5	 94
 1	 6	 6	 94
 1	 6	 7	 94
 1	 6	 8	 94
 1	 6	 9	 94
 1	 6	 10	 94
 1	 6	 11	 94
 1	 6	 12	 94
 1	 6	 13	 94
 1	 6	 14	 94
 1	 6	 15	 94
 1	 6	 16	 94
 1	 6	 17	 94
 1	 6	 18	 94
 1	 6	 19	 94
 1	 6	 20	 94
 1	 6	 21	 94
 1	 6	 22	 94
 1	 6	 23	 94
 1	 6	 24	 94
 1	 6	 25	 94
 1	 6	 26	 94
 1	 6	 27	 94
 1	 6	 28	 94
 1	 6	 29	 94
 1	 6	 30	 94
 1	 6	 31	 94
 1	 6	 32	 94
 1	 6	 33	 94
 1	 6	 34	 94
 1	 6	 35	 94
 1	 6	 36	 94
 1	 6	 37	 94
 1	 6	 38	 94
 1	 6	 39	 94
 1	 6	 40	 94
 1	 6	 41	 94
 1	 6	 42	 94
 1	 6	 43	 94
 1	 6	 44	 94
 1	 6	 45	 94
 1	 6	 46	 94
 1	 6	 47	 94
 1	 6	 48	 94
 1	 6	 49	 94
 1	 6	 50	 94
 1	 6	 51	 94
 1	 6	 52	 94
 1	 6	 53	 94
 1	 6	 54	 94
 1	 6	 55	 94
 1	 6	 56	 94
 1	 6	 57	 94
 1	 6	 58	 94
 1	 6	 59	 94
 1	 6	 60	 94
 1	 6	 61	 94
 1	 6	 62	 94
 1	 6	 63	 94
 1	 6	 64	 94
 1	 6	 65	 94
 1	 6	 66	 94
 1	 6	 67	 94
 1	 6	 68	 94
 1	 6	 69	 94
 1	 6	 70	 94
 1	 6	 71	 94
 1	 6	 72	 94
 1	 6	 73	 94
 1	 6	 74	 94
 1	 6	 75	 94
 1	 6	 76	 94
 1	 6	 77	 94
 1	 6	 78	 94
 1	 6	 79	 94
 1	 6	 80	 94
 1	 6	 81	 94
 1	 6	 82	 94
 1	 6	 83	 94
 1	 6	 84	 94
 1	 6	 85	 94
 1	 6	 86	 94
 1	 6	 87	 94
 1	 6	 88	 94
 1	 6	 89	 94
 1	 6	 90	 94
 1	 6	 91	 94
 1	 6	 92	 94
 1	 6	 93	 94
 1	 6	 94	 94
 1	 6	 95	 94
 1	 6	 96	 94
 1	 6	 97	 94
 1	 6	 98	 94
 1	 6	 99	 94
 1	 6	 100	 94
 1	 6	 101	 94
 1	 6	 102	 94
 1	 6	 103	 94
 1	 6	 104	 94
 1	 6	 105	 94
 1	 6	 106	 94
 1	 6	 107	 94
 1	 6	 108	 94
 1	 6	 109	 94
 1	 6	 110	 94
 1	 6	 111	 94
 1	 6	 112	 94
 1	 6	 113	 94
 1	 2	 1	 73
 1	 2	 2	 73
 1	 2	 3	 73
 1	 2	 4	 73
 1	 2	 5	 73
 1	 2	 6	 73
 1	 2	 7	 73
 1	 2	 8	 73
 1	 2	 9	 73
 1	 2	 10	 73
 1	 2	 11	 73
 1	 2	 12	 73
 1	 2	 13	 73
 1	 2	 14	 73
 1	 2	 15	 73
 1	 2	 16	 73
 1	 2	 17	 73
 1	 2	 18	 73
 1	 2	 19	 73
 1	 2	 20	 73
 1	 2	 21	 73
 1	 2	 22	 73
 1	 2	 23	 73
 1	 2	 24	 73
 1	 2	 25	 73
 1	 2	 26	 73
 1	 2	 27	 73
 1	 2	 28	 73
 1	 2	 29	 73
 1	 2	 30	 73
 1	 2	 31	 73
 1	 2	 32	 73
