"subj"	"block"	"trialN"	"setID"	"RTss"	"cond"	"bsl"	"RTadj"	"rep"
1	1	1	3	1.7307	"RANREGr"	0.45102	1.27968	1
1	1	12	2	1.2839	"RANREGr"	0.45102	0.83288	1
1	1	60	2	1.3521	"RANREGr"	0.45102	0.90108	2
1	1	71	2	2.3407	"RANREGr"	0.45102	1.88968	3
1	1	3	6	1.3432	"REPinRANr"	0.45102	0.89218	1
1	1	16	4	1.6926	"REPinRANr"	0.45102	1.24158	1
1	1	40	4	1.6466	"REPinRANr"	0.45102	1.19558	2
1	1	62	6	1.5305	"REPinRANr"	0.45102	1.07948	3
1	1	63	5	1.5052	"REPinRANr"	0.45102	1.05418	3
1	1	79	4	1.8184	"REPinRANr"	0.45102	1.36738	3
1	1	4	9	2.001	"RANREG"	0.45102	1.54998	1
1	1	11	22	1.9401	"RANREG"	0.45102	1.48908	1
1	1	22	54	1.7493	"RANREG"	0.45102	1.29828	2
1	1	25	25	1.3412	"RANREG"	0.45102	0.89018	2
1	1	42	21	1.1732	"RANREG"	0.45102	0.72218	2
1	1	69	13	1.1401	"RANREG"	0.45102	0.68908	3
1	1	59	20	1.9008	"REPinRAN"	0.45102	1.44978	2
1	1	72	28	1.5634	"REPinRAN"	0.45102	1.11238	3
1	1	73	34	1.3877	"REPinRAN"	0.45102	0.93668	3
1	1	77	33	1.8441	"REPinRAN"	0.45102	1.39308	3
1	2	10	2	1.33	"RANREGr"	0.45102	0.87898	1
1	2	29	1	1.4781	"RANREGr"	0.45102	1.02708	2
1	2	41	2	1.3064	"RANREGr"	0.45102	0.85538	2
1	2	43	1	0.9781	"RANREGr"	0.45102	0.52708	3
1	2	48	2	1.2905	"RANREGr"	0.45102	0.83948	3
1	2	56	3	1.3154	"RANREGr"	0.45102	0.86438	3
1	2	4	5	1.701	"REPinRANr"	0.45102	1.24998	1
1	2	30	4	1.6361	"REPinRANr"	0.45102	1.18508	1
1	2	32	5	1.2619	"REPinRANr"	0.45102	0.81088	2
1	2	50	4	1.2725	"REPinRANr"	0.45102	0.82148	2
1	2	52	5	1.3472	"REPinRANr"	0.45102	0.89618	3
1	2	19	1	1.3614	"RANREG"	0.45102	0.91038	1
1	2	20	18	1.2629	"RANREG"	0.45102	0.81188	1
1	2	26	42	1.3906	"RANREG"	0.45102	0.93958	2
1	2	46	30	1.2733	"RANREG"	0.45102	0.82228	2
1	2	65	39	1.3364	"RANREG"	0.45102	0.88538	3
1	2	76	52	1.2122	"RANREG"	0.45102	0.76118	3
1	2	12	2	1.255	"REPinRAN"	0.45102	0.80398	2
1	2	69	36	1.7377	"REPinRAN"	0.45102	1.28668	3
1	3	29	2	1.2915	"RANREGr"	0.45102	0.84048	1
1	3	31	3	2.06	"RANREGr"	0.45102	1.60898	1
1	3	44	2	1.3006	"RANREGr"	0.45102	0.84958	2
1	3	45	3	1.4785	"RANREGr"	0.45102	1.02748	2
1	3	48	1	1.4121	"RANREGr"	0.45102	0.96108	3
1	3	58	2	0.9348	"RANREGr"	0.45102	0.48378	3
1	3	74	3	1.4125	"RANREGr"	0.45102	0.96148	3
1	3	15	5	1.415	"REPinRANr"	0.45102	0.96398	1
1	3	43	6	1.8437	"REPinRANr"	0.45102	1.39268	1
1	3	80	4	1.5627	"REPinRANr"	0.45102	1.11168	3
1	3	12	19	1.3181	"RANREG"	0.45102	0.86708	1
1	3	34	12	1.3784	"RANREG"	0.45102	0.92738	1
1	3	40	29	1.6678	"RANREG"	0.45102	1.21678	2
1	3	65	17	1.2348	"RANREG"	0.45102	0.78378	2
1	3	70	40	1.5932	"RANREG"	0.45102	1.14218	3
1	3	71	43	1.285	"RANREG"	0.45102	0.83398	3
1	3	77	15	1.4637	"RANREG"	0.45102	1.01268	3
1	3	33	13	1.3253	"REPinRAN"	0.45102	0.87428	1
1	3	47	29	2.2216	"REPinRAN"	0.45102	1.77058	1
1	4	19	2	1.2494	"RANREGr"	0.45102	0.79838	1
1	4	20	1	1.5851	"RANREGr"	0.45102	1.13408	1
1	4	21	3	1.2861	"RANREGr"	0.45102	0.83508	1
1	4	28	2	1.1652	"RANREGr"	0.45102	0.71418	2
1	4	31	1	1.153	"RANREGr"	0.45102	0.70198	2
1	4	37	3	1.1095	"RANREGr"	0.45102	0.65848	2
1	4	41	2	1.2167	"RANREGr"	0.45102	0.76568	3
1	4	66	1	1.5822	"RANREGr"	0.45102	1.13118	3
1	4	81	3	1.3056	"RANREGr"	0.45102	0.85458	3
1	4	9	5	1.5321	"REPinRANr"	0.45102	1.08108	1
1	4	30	4	1.3438	"REPinRANr"	0.45102	0.89278	1
1	4	39	6	1.463	"REPinRANr"	0.45102	1.01198	2
1	4	67	4	1.3888	"REPinRANr"	0.45102	0.93778	2
1	4	80	4	1.1471	"REPinRANr"	0.45102	0.69608	3
1	4	3	37	1.4646	"RANREG"	0.45102	1.01358	1
1	4	5	53	1.4994	"RANREG"	0.45102	1.04838	1
1	4	11	14	1.2613	"RANREG"	0.45102	0.81028	1
1	4	13	48	1.2983	"RANREG"	0.45102	0.84728	2
1	4	32	16	1.3041	"RANREG"	0.45102	0.85308	2
1	4	46	8	1.742	"RANREG"	0.45102	1.29098	3
1	4	48	26	1.3611	"RANREG"	0.45102	0.91008	3
1	4	64	7	1.1353	"RANREG"	0.45102	0.68428	3
1	4	14	16	1.6621	"REPinRAN"	0.45102	1.21108	1
1	4	52	4	1.185	"REPinRAN"	0.45102	0.73398	2
1	4	60	31	1.3393	"REPinRAN"	0.45102	0.88828	2
1	4	61	32	1.6362	"REPinRAN"	0.45102	1.18518	3
1	4	76	12	1.3721	"REPinRAN"	0.45102	0.92108	3
1	4	82	23	1.6749	"REPinRAN"	0.45102	1.22388	3
1	5	6	3	1.2556	"RANREGr"	0.45102	0.80458	1
1	5	15	2	0.7063	"RANREGr"	0.45102	0.25528	1
1	5	33	1	1.4508	"RANREGr"	0.45102	0.99978	1
1	5	41	3	1.7877	"RANREGr"	0.45102	1.33668	2
1	5	48	2	1.1882	"RANREGr"	0.45102	0.73718	2
1	5	53	1	1.7047	"RANREGr"	0.45102	1.25368	2
1	5	55	3	1.1317	"RANREGr"	0.45102	0.68068	3
1	5	63	2	1.096	"RANREGr"	0.45102	0.64498	3
1	5	80	1	0.9763	"RANREGr"	0.45102	0.52528	3
1	5	16	4	1.3259	"REPinRANr"	0.45102	0.87488	1
1	5	17	6	1.2155	"REPinRANr"	0.45102	0.76448	1
1	5	21	4	1.4389	"REPinRANr"	0.45102	0.98788	2
1	5	22	6	1.2778	"REPinRANr"	0.45102	0.82678	2
1	5	34	5	1.362	"REPinRANr"	0.45102	0.91098	2
1	5	36	4	0.9411	"REPinRANr"	0.45102	0.49008	3
1	5	57	6	1.1372	"REPinRANr"	0.45102	0.68618	3
1	5	76	5	1.0315	"REPinRANr"	0.45102	0.58048	3
1	5	3	36	1.6487	"RANREG"	0.45102	1.19768	1
1	5	5	51	1.8351	"RANREG"	0.45102	1.38408	1
1	5	10	44	1.6568	"RANREG"	0.45102	1.20578	2
1	5	13	24	0.8838	"RANREG"	0.45102	0.43278	2
1	5	14	3	1.5657	"RANREG"	0.45102	1.11468	2
1	5	23	32	1.6199	"RANREG"	0.45102	1.16888	3
1	5	27	50	1.1734	"RANREG"	0.45102	0.72238	3
1	5	30	6	1.0612	"RANREG"	0.45102	0.61018	3
1	5	32	4	1.3195	"RANREG"	0.45102	0.86848	1
1	5	43	35	0.9062	"RANREG"	0.45102	0.45518	1
1	5	46	27	1.2438	"RANREG"	0.45102	0.79278	1
1	5	49	5	1.5857	"RANREG"	0.45102	1.13468	2
1	5	52	45	0.7248	"RANREG"	0.45102	0.27378	2
1	5	54	46	1.1611	"RANREG"	0.45102	0.71008	2
1	5	59	11	1.0145	"RANREG"	0.45102	0.56348	3
10	1	5	1	1.1015	"RANREGr"	0.436932	0.664568	1
10	1	10	2	0.8775	"RANREGr"	0.436932	0.440568	1
10	1	15	3	1.1851	"RANREGr"	0.436932	0.748168	1
10	1	41	2	0.6211	"RANREGr"	0.436932	0.184168	2
